City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
604,Ventspils,LV,57.3894,21.5606,35.53,64,75,23.02,broken clouds
605,Dhekiajuli,IN,26.7,92.5,55.76,50,2,5.37,clear sky
606,Halifax,CA,44.6453,-63.5724,34.09,76,98,7.0,overcast clouds
607,Presidente Epitacio,BR,-21.7633,-52.1156,77.02,81,100,5.19,overcast clouds
608,Contamana,PE,-7.3333,-75.0167,95.29,38,100,6.35,overcast clouds
609,Ucluelet,CA,48.9329,-125.5528,38.08,88,81,7.7,broken clouds
610,Hodosa,RO,46.6333,24.8167,33.66,94,97,8.93,light snow
611,Semirom,IR,31.4167,51.5667,19.94,68,1,1.9,clear sky
612,Vila,PT,42.0304,-8.1588,52.68,56,0,4.63,clear sky
613,Luba,GQ,3.4568,8.5547,82.29,72,60,6.4,broken clouds
614,Ozernovskiy,RU,51.5,156.5167,23.56,81,100,29.26,light snow
615,Maceio,BR,-9.6658,-35.7353,87.24,66,75,13.8,broken clouds
616,Helena,US,46.5927,-112.0361,35.26,66,0,1.99,clear sky
617,Kloulklubed,PW,7.0419,134.2556,81.05,83,34,12.26,scattered clouds
618,Matara,LK,5.9485,80.5353,76.75,82,63,1.68,broken clouds
619,Aswan,EG,24.0934,32.907,55.31,32,27,11.21,scattered clouds
620,Markova,UA,48.6758,24.4138,33.39,95,100,11.54,snow
621,Gagino,RU,55.2314,45.0339,17.33,95,96,9.95,overcast clouds
622,Waddan,LY,29.1614,16.139,51.85,39,1,5.03,clear sky
623,Besikduzu,TR,41.052,39.2284,40.89,74,13,9.6,few clouds
624,Christchurch,NZ,-43.5333,172.6333,60.91,85,81,1.01,broken clouds
625,Naifaru,MV,5.4444,73.3657,81.64,67,12,18.21,few clouds
626,Ati,TD,13.2154,18.3353,74.64,15,15,10.98,few clouds
627,Pietroasa,RO,46.5833,22.55,34.72,98,100,3.78,snow
628,Rivadavia,AR,-33.1905,-68.4608,82.45,39,4,9.06,clear sky
629,Middelburg,ZA,-25.7751,29.4648,68.61,73,64,7.83,light rain
630,Bonoua,CI,5.2741,-3.595,85.62,61,48,10.54,scattered clouds
631,Villahermosa,MX,17.9833,-92.9167,77.07,80,100,0.0,overcast clouds
632,Wanaka,NZ,-44.7,169.15,50.85,85,39,5.14,scattered clouds
633,Entre Rios,BR,-11.9419,-38.0844,83.59,64,82,5.12,moderate rain
634,Shelburne,CA,44.0787,-80.2041,4.28,81,56,8.23,broken clouds
635,Hojai,IN,26.0,92.8667,60.69,59,50,2.39,scattered clouds
636,Jiangyou,CN,31.7667,104.7167,39.87,84,97,1.77,light rain
